Application_ID,Age,Education_Level,Course_Type,Course_Duration,Institution_Type,Institution_Location,Admission_Status,Annual_Course_Fee,Total_Education_Cost,Loan_Amount,Family_Monthly_Income,Family_Existing_EMI,Number_of_Dependents,Previous_Academic_Performance,Co_Applicant_Occupation,Co_Applicant_Monthly_Income,Loan_Approval
EL100000,21,Professional Course,Computer Science,4,University,Semi Urban,Confirmed,252000,1153000,558000,32800,5500,4,Excellent,Salaried,37900,Approved
EL100001,21,Postgraduate,Engineering,5,Private,Semi Urban,Confirmed,212000,1183000,1100000,52600,15900,4,Average,Not Applicable,0,Rejected
EL100002,18,Undergraduate,Medical,4,Government,Urban,Confirmed,480000,2084000,1569000,44500,5600,2,Good,Salaried,23600,Rejected
EL100003,17,Undergraduate,Law,5,Private,Urban,Confirmed,204000,1097000,894000,75100,17800,4,Excellent,Private Employee,38100,Rejected
EL100004,23,Diploma,Engineering,3,College,Semi Urban,Confirmed,179000,668000,523000,13800,1200,4,Good,Salaried,28000,Rejected
EL100005,26,Undergraduate,Management,1,Private,Semi Urban,Confirmed,551000,632000,411000,75400,21300,3,Good,Self Employed,10600,Approved
EL100006,23,Diploma,Engineering,3,University,Urban,Confirmed,141000,450000,264000,74500,19400,4,Average,Business Owner,21200,Approved
EL100007,22,Professional Course,Computer Science,4,Private,Rural,Confirmed,211000,1039000,670000,46200,10700,2,Below Average,Private Employee,46000,Approved
EL100008,17,Undergraduate,Science,4,Private,Urban,Confirmed,135000,670000,351000,52100,7100,0,Excellent,Salaried,16000,Approved
EL100009,24,Undergraduate,Management,4,Government,Urban,Confirmed,233000,1023000,821000,54100,6000,3,Good,Private Employee,15800,Rejected
EL100010,23,Undergraduate,Science,3,Private,Urban,Confirmed,143000,478000,347000,25600,2500,1,Average,Government Employee,26600,Rejected
EL100011,24,Postgraduate,Management,3,Government,Semi Urban,Provisional,287000,1069000,556000,41200,1700,4,Average,Salaried,9000,Rejected
EL100012,25,Postgraduate,Law,5,Private,Urban,Confirmed,283000,1490000,980000,62600,10800,2,Average,Salaried,44400,Approved
EL100013,27,Undergraduate,Science,2,Private,Semi Urban,Confirmed,98000,219000,186000,16400,1800,2,Average,Professional,42300,Approved
EL100014,17,Postgraduate,Engineering,2,College,Urban,Confirmed,147000,334000,315000,50800,8400,3,Excellent,Government Employee,50100,Approved
EL100015,17,Postgraduate,Law,4,Private,Urban,Confirmed,220000,1060000,591000,41900,6100,1,Average,Salaried,33600,Rejected
EL100016,22,Undergraduate,Engineering,4,Government,Urban,Confirmed,172000,773000,773000,54900,1800,0,Excellent,Salaried,18600,Approved
EL100017,18,Undergraduate,Computer Science,3,Government,Urban,Confirmed,125000,419000,254000,21200,4800,3,Excellent,Business Owner,15100,Rejected
EL100018,17,Undergraduate,Engineering,1,Private,Urban,Provisional,233000,279000,138000,27700,3800,1,Below Average,Government Employee,40300,Rejected
EL100019,25,Diploma,Management,4,University,Urban,Confirmed,259000,1264000,1264000,20000,4200,3,Average,Salaried,44100,Rejected
