Application_ID,Age,Occupation,Employment_Type,Monthly_Income,Employment_Business_Duration,Existing_Monthly_EMI,Loan_Amount,Loan_Tenure,Property_Value,Down_Payment,Property_Type,Property_Location_Type,Number_of_Dependents,Loan_Approval
HL100000,29,Self Employed,Self Employed,74800,1.4,4300,6365000,10,7918000,1553000,Apartment,Rural,1,Approved
HL100001,25,Private Employee,Permanent,100200,2.8,12100,9286000,20,12839000,3553000,Apartment,Urban,0,Approved
HL100002,50,Business Owner,Business,140700,12.0,17500,9829000,25,13204000,3375000,Villa,Rural,0,Approved
HL100003,60,Self Employed,Self Employed,59400,7.1,2900,5544000,15,9187000,3643000,Villa,Urban,1,Approved
HL100004,34,Salaried,Permanent,70200,3.5,9900,5437000,10,7296000,1859000,Plot,Semi Urban,1,Rejected
HL100005,26,Professional,Contract,58100,3.5,8200,5890000,30,7306000,1416000,Plot,Urban,3,Approved
HL100006,22,Self Employed,Self Employed,68700,0.5,7300,5068000,30,5821000,753000,Villa,Semi Urban,3,Rejected
HL100007,36,Self Employed,Self Employed,62400,3.6,19600,5611000,20,8185000,2574000,Independent House,Semi Urban,2,Rejected
HL100008,35,Salaried,Permanent,55600,5.0,6000,2837000,20,3635000,798000,Builder Floor,Rural,2,Approved
HL100009,32,Private Employee,Permanent,57600,5.2,5600,7017000,30,7792000,775000,Plot,Rural,4,Rejected
HL100010,40,Government Employee,Permanent,63100,1.3,5400,4683000,20,6018000,1335000,Builder Floor,Urban,1,Rejected
HL100011,42,Professional,Permanent,54600,6.4,2300,4903000,25,5704000,801000,Builder Floor,Semi Urban,2,Approved
HL100012,41,Private Employee,Permanent,48600,16.9,8500,4158000,20,5108000,950000,Independent House,Urban,2,Approved
HL100013,35,Business Owner,Business,146000,13.3,9500,12585000,15,16145000,3560000,Villa,Urban,3,Approved
HL100014,28,Private Employee,Permanent,183500,2.1,13700,17812000,25,20896000,3084000,Villa,Urban,3,Approved
HL100015,44,Salaried,Permanent,31500,16.1,2400,2953000,20,3605000,652000,Apartment,Rural,0,Rejected
HL100016,38,Private Employee,Permanent,30700,7.4,1300,2214000,15,2637000,423000,Villa,Semi Urban,2,Rejected
HL100017,46,Salaried,Permanent,35200,19.3,0,3178000,20,3795000,617000,Independent House,Urban,1,Rejected
