Application_ID,Age,Occupation,Employment_Type,Monthly_Income,Employment_Business_Duration,Existing_Monthly_EMI,Loan_Amount,Loan_Tenure,Loan_Purpose,Number_of_Dependents,Monthly_Household_Expenses,Monthly_Savings_Surplus,Residence_Type,Employment_Business_Stability,Loan_Approval
PL100000,41,Private Employee,Contract,37400,8.6,6100,119000,3,Medical,1,18100,13400,Owned,Unstable,Rejected
PL100001,26,Self Employed,Self Employed,57300,2.3,0,410000,3,Emergency,2,34400,23500,Owned,Stable,Approved
PL100002,42,Private Employee,Permanent,23200,7.3,6100,58000,5,Home Renovation,1,13000,4900,Rented,Stable,Rejected
PL100003,38,Government Employee,Permanent,16500,18.0,4600,58000,3,Medical,1,8200,3600,Owned,Moderate,Rejected
PL100004,24,Government Employee,Permanent,32300,1.2,3900,259000,1,Wedding,0,7600,21100,Family Owned,Moderate,Approved
PL100005,43,Private Employee,Permanent,40000,6.4,4100,139000,1,Debt Consolidation,2,4800,31000,Rented,Unstable,Approved
PL100006,38,Salaried,Contract,42800,5.3,11200,109000,3,Travel,2,23100,9600,Family Owned,Stable,Rejected
PL100007,26,Salaried,Permanent,30600,3.1,8200,118000,1,Emergency,2,16800,5800,Rented,Moderate,Rejected
PL100008,33,Private Employee,Contract,34100,7.7,0,409000,4,Debt Consolidation,1,11500,21800,Owned,Moderate,Rejected
PL100009,44,Salaried,Permanent,27900,9.0,6100,241000,1,Home Renovation,3,9000,13100,Owned,Moderate,Rejected
PL100010,36,Self Employed,Self Employed,41300,16.0,10600,79000,5,Wedding,1,12900,18800,Owned,Stable,Approved
PL100011,30,Salaried,Permanent,35100,4.2,2800,344000,2,Consumer Purchase,1,12700,19100,Rented,Very Stable,Approved
PL100012,37,Self Employed,Self Employed,22900,10.6,1200,213000,4,Home Renovation,2,8000,14200,Owned,Very Stable,Approved
PL100013,29,Self Employed,Self Employed,62500,8.0,12800,534000,2,Wedding,0,29900,20400,Family Owned,Very Stable,Approved
PL100014,33,Professional,Contract,44800,4.6,15400,263000,2,Medical,0,16200,14500,Owned,Moderate,Rejected
PL100015,35,Private Employee,Contract,21000,1.2,5900,187000,4,Debt Consolidation,2,5300,9200,Owned,Moderate,Rejected
PL100016,49,Salaried,Contract,22300,11.0,4800,140000,4,Travel,0,12000,6700,Owned,Stable,Rejected
PL100017,28,Private Employee,Permanent,26100,5.9,3400,102000,2,Debt Consolidation,1,11500,10700,Owned,Very Stable,Approved
PL100018,46,Business Owner,Business,110500,17.9,16100,1156000,3,Wedding,2,64700,28600,Family Owned,Very Stable,Approved
PL100019,21,Salaried,Contract,14000,1.0,1900,116000,1,Travel,2,6600,5200,Rented,Very Stable,Rejected
PL100020,34,Government Employee,Permanent,103300,10.4,11700,249000,2,Medical,1,39300,50900,Owned,Moderate,Approved
PL100021,38,Salaried,Permanent,29000,6.8,2200,241000,2,Consumer Purchase,1,8500,17400,Owned,Stable,Rejected
PL100022,42,Salaried,Permanent,22600,6.2,4800,57000,2,Emergency,2,15300,1400,Family Owned,Stable,Approved
PL100023,39,Private Employee,Contract,58700,1.6,300,541000,5,Debt Consolidation,1,26800,31400,Family Owned,Unstable,Approved
PL100024,21,Self Employed,Self Employed,28900,0.9,6500,274000,1,Consumer Purchase,1,11300,12600,Rented,Moderate,Rejected
PL100025,46,Self Employed,Self Employed,76400,10.5,6900,608000,2,Other Personal,0,21400,50100,Owned,Moderate,Rejected
PL100026,26,Business Owner,Business,31600,2.9,6000,95000,1,Medical,0,6700,18600,Family Owned,Moderate,Rejected
PL100027,27,Salaried,Permanent,38800,1.2,2500,402000,4,Wedding,0,13800,23700,Owned,Unstable,Rejected
PL100028,21,Self Employed,Self Employed,33200,0.2,0,164000,2,Home Renovation,1,21300,11400,Rented,Very Stable,Rejected
PL100029,40,Salaried,Contract,67300,6.4,19200,108000,2,Consumer Purchase,1,38100,7700,Owned,Moderate,Rejected
PL100030,39,Self Employed,Self Employed,24000,11.5,5700,262000,3,Consumer Purchase,0,3600,16000,Family Owned,Stable,Rejected
PL100031,31,Self Employed,Self Employed,27800,4.3,3000,210000,2,Debt Consolidation,3,8200,17600,Family Owned,Moderate,Rejected
PL100032,25,Salaried,Permanent,31500,0.9,10900,273000,5,Consumer Purchase,2,10800,11900,Rented,Moderate,Rejected
PL100033,37,Self Employed,Self Employed,32000,3.4,9800,267000,1,Home Renovation,3,12700,7400,Family Owned,Very Stable,Rejected
PL100034,21,Salaried,Permanent,71200,0.1,14100,708000,2,Medical,2,34700,23000,Rented,Moderate,Approved
PL100035,60,Professional,Permanent,45300,3.2,0,245000,2,Emergency,0,9900,37600,Rented,Very Stable,Approved
PL100036,36,Self Employed,Self Employed,30400,2.9,200,327000,2,Wedding,2,16100,14700,Owned,Very Stable,Rejected
PL100037,47,Private Employee,Permanent,30100,10.7,4800,341000,3,Wedding,1,11100,14200,Rented,Moderate,Rejected
PL100038,41,Self Employed,Self Employed,20400,11.2,5000,55000,2,Other Personal,1,9200,6300,Owned,Stable,Rejected
PL100039,33,Self Employed,Self Employed,32200,13.0,10000,344000,1,Debt Consolidation,3,15200,7300,Rented,Unstable,Rejected
