Application_ID,Age,Occupation,Employment_Type,Monthly_Income,Employment_Business_Duration,Existing_Monthly_EMI,Vehicle_Type,Vehicle_Condition,Vehicle_Price,Down_Payment,Loan_Amount,Loan_Tenure,Vehicle_Usage,Number_of_Dependents,Loan_Approval
VL100000,29,Salaried,Permanent,54800,3.7,0,SUV,Used,674000,900,673100,2,Personal,1,Approved
VL100001,29,Salaried,Permanent,111100,1.0,7600,SUV,New,1361000,191700,1169300,5,Personal,1,Approved
VL100002,39,Private Employee,Permanent,63000,9.0,12900,Scooter,New,80000,19200,60800,5,Personal,0,Approved
VL100003,21,Salaried,Contract,42300,0.4,4100,Commercial Vehicle,Used,918000,152400,765600,3,Commercial,3,Approved
VL100004,36,Private Employee,Permanent,28100,2.1,800,Car,New,709000,144200,564800,5,Personal,0,Approved
VL100005,28,Self Employed,Self Employed,41100,1.6,3600,SUV,Used,659000,134700,524300,5,Personal,0,Approved
VL100006,35,Government Employee,Permanent,53400,8.3,10800,Car,New,934000,64600,869400,5,Personal,0,Approved
VL100007,21,Government Employee,Permanent,20800,0.6,3000,Car,New,907000,146900,760100,5,Personal,1,Rejected
VL100008,51,Government Employee,Permanent,15000,13.9,600,Motorcycle,Used,60000,7200,52800,3,Personal,1,Approved
VL100009,36,Private Employee,Permanent,17700,12.6,2500,Electric Vehicle,Used,908000,204500,703500,5,Personal,4,Rejected
VL100010,43,Professional,Permanent,25900,6.0,1900,SUV,Used,803000,132900,670100,5,Business,4,Rejected
VL100011,24,Salaried,Permanent,30800,1.3,100,Car,New,716000,66500,649500,2,Personal,2,Approved
VL100012,28,Private Employee,Permanent,29300,7.3,5200,Scooter,Used,40000,7600,32400,2,Personal,2,Approved
VL100013,35,Private Employee,Contract,35000,10.3,4900,Car,New,904000,295000,609000,3,Personal,3,Rejected
VL100014,34,Private Employee,Permanent,23000,5.1,600,SUV,New,1394000,72400,1321600,2,Personal,0,Approved
VL100015,37,Business Owner,Business,39100,9.4,6800,Motorcycle,Used,78000,22300,55700,5,Commercial,4,Approved
VL100016,33,Government Employee,Permanent,30800,6.8,0,Car,New,801000,111700,689300,5,Business,2,Approved
VL100017,33,Salaried,Contract,28000,1.4,2700,Scooter,New,78000,15400,62600,3,Commercial,2,Approved
VL100018,35,Private Employee,Permanent,35900,2.4,9900,SUV,New,1485000,85700,1399300,3,Personal,2,Rejected
VL100019,33,Professional,Permanent,27300,13.0,7100,Car,Used,416000,92000,324000,5,Personal,0,Approved
VL100020,31,Private Employee,Permanent,68600,2.7,5200,Car,New,842000,191400,650600,2,Personal,0,Approved
VL100021,29,Private Employee,Permanent,28900,1.9,9000,Commercial Vehicle,Used,1139000,403100,735900,3,Business,2,Rejected
VL100022,42,Government Employee,Permanent,34200,3.1,5000,Car,New,723000,172300,550700,3,Personal,0,Approved
VL100023,26,Professional,Contract,72500,2.0,6100,Electric Vehicle,Used,536000,21000,515000,2,Business,2,Rejected
VL100024,23,Private Employee,Permanent,26200,2.5,3100,Car,New,896000,188100,707900,3,Personal,3,Rejected
VL100025,34,Professional,Permanent,55600,4.8,3600,SUV,New,1250000,277500,972500,7,Personal,1,Rejected
VL100026,39,Private Employee,Permanent,28900,8.9,4800,Electric Vehicle,New,1211000,94000,1117000,3,Personal,2,Rejected
VL100027,62,Professional,Permanent,93600,6.3,7100,Motorcycle,New,127000,1300,125700,3,Business,1,Approved
VL100028,28,Private Employee,Permanent,29100,8.0,3600,Car,Used,303000,11600,291400,2,Personal,3,Approved
VL100029,35,Salaried,Permanent,21600,3.3,1700,Car,New,952000,209800,742200,5,Commercial,2,Rejected
VL100030,30,Government Employee,Permanent,60100,2.0,0,SUV,New,1652000,291200,1360800,3,Personal,2,Rejected
VL100031,34,Government Employee,Permanent,99100,4.6,5100,Electric Vehicle,New,1559000,441800,1117200,3,Personal,2,Approved
VL100032,39,Business Owner,Business,46800,0.3,4300,Car,New,856000,270100,585900,3,Commercial,2,Rejected
VL100033,27,Business Owner,Business,31400,1.5,3000,Electric Vehicle,New,1163000,306900,856100,7,Personal,1,Approved
VL100034,37,Business Owner,Business,19600,6.3,3300,SUV,New,1520000,409700,1110300,3,Personal,2,Rejected
VL100035,27,Salaried,Permanent,41000,5.2,6100,Motorcycle,Used,41000,12300,28700,5,Personal,3,Rejected
VL100036,30,Self Employed,Self Employed,79200,3.4,5800,SUV,Used,634000,148100,485900,1,Personal,3,Approved
VL100037,41,Private Employee,Permanent,49500,3.0,3300,SUV,Used,564000,134500,429500,2,Business,2,Approved
VL100038,31,Salaried,Permanent,31400,4.9,3700,Motorcycle,New,104000,2300,101700,5,Commercial,0,Approved
VL100039,33,Private Employee,Permanent,30100,2.2,2400,Motorcycle,New,132000,19400,112600,7,Business,0,Rejected
VL100040,44,Salaried,Contract,41800,1.2,2700,Scooter,New,80000,8200,71800,5,Personal,1,Approved
VL100041,53,Self Employed,Self Employed,23300,5.6,900,Car,New,777000,240000,537000,5,Personal,4,Approved
VL100042,43,Self Employed,Self Employed,41300,20.4,3000,Commercial Vehicle,Used,1536000,170300,1365700,7,Personal,0,Approved
VL100043,34,Self Employed,Self Employed,59200,6.5,8500,Scooter,Used,59000,6400,52600,7,Personal,3,Approved
VL100044,27,Government Employee,Permanent,44900,2.1,1000,Car,Used,481000,80600,400400,2,Personal,4,Approved
VL100045,27,Government Employee,Permanent,38800,3.8,5500,SUV,Used,609000,201300,407700,5,Business,0,Approved
VL100046,25,Self Employed,Self Employed,22400,0.7,7100,Car,Used,429000,150700,278300,5,Personal,1,Rejected
VL100047,28,Salaried,Permanent,44600,2.7,2700,Car,New,848000,158200,689800,3,Business,4,Rejected
VL100048,34,Salaried,Permanent,23900,5.1,2000,Scooter,New,70000,16400,53600,3,Personal,0,Approved
VL100049,32,Self Employed,Self Employed,51800,6.4,3400,Electric Vehicle,Used,631000,122100,508900,2,Commercial,3,Approved
VL100050,32,Salaried,Permanent,51800,3.2,6600,Car,New,930000,232100,697900,5,Business,2,Approved
VL100051,38,Private Employee,Permanent,19400,7.5,1500,Car,New,822000,20100,801900,5,Commercial,3,Rejected
VL100052,38,Salaried,Permanent,24500,14.1,2000,Motorcycle,New,114000,34600,79400,3,Personal,1,Rejected
VL100053,36,Government Employee,Permanent,33500,12.0,0,Commercial Vehicle,New,1660000,327900,1332100,5,Business,0,Approved
VL100054,39,Private Employee,Permanent,27300,14.7,2200,Electric Vehicle,New,1122000,168900,953100,1,Commercial,2,Approved
VL100055,60,Business Owner,Business,28300,40.0,200,SUV,New,1679000,244900,1434100,5,Personal,2,Approved
VL100056,39,Government Employee,Permanent,51300,19.0,2100,Car,Used,591000,137900,453100,2,Business,0,Approved
VL100057,44,Private Employee,Contract,49000,4.0,9600,Motorcycle,Used,65000,21300,43700,3,Commercial,1,Approved
VL100058,41,Salaried,Permanent,50100,12.2,1500,Scooter,Used,40000,12800,27200,3,Commercial,1,Approved
VL100059,31,Private Employee,Permanent,49200,4.5,3500,Car,Used,520000,70700,449300,3,Personal,2,Rejected
